Chapter,X1909,X1951,X1956,X1974,X2008,X2021,X2024_Pareschi,X2024_Sacchini,Original
1,24.064935064935064,22.929411764705883,14.683760683760683,21.873563218390803,22.629213483146067,22.629213483146067,24.645569620253166,20.57894736842105,23.8170731707
2,23.63888888888889,21.64885496183206,14.24187725631769,23.531073446327685,16.968,16.968,18.11353711790393,17.381889763779526,23.075
3,20.640287769784173,17.097826086956523,15.584,21.213286713286713,16.703504043126685,16.703504043126685,19.067278287461775,17.439353099730457,19.6463414634
4,21.817351598173516,19.91166077738516,18.64039408866995,26.21656050955414,18.791666666666668,18.791666666666668,25.41317365269461,22.207253886010363,22.8249027237
5,16.40495867768595,21.266094420600858,13.424460431654676,16.309623430962343,13.271565495207668,13.271565495207668,14.563176895306858,13.97,23.0319634703
6,21.85,21.315384615384616,16.65648854961832,19.275,15.157728706624606,15.157728706624606,18.50769230769231,15.722741433021806,24.7542372881
7,21.008849557522122,22.993288590604028,15.172413793103448,19.383673469387755,18.386617100371748,18.386617100371748,18.754789272030653,15.094395280235988,29.0403225806
8,20.366666666666667,22.746031746031747,15.515981735159817,20.11111111111111,17.458333333333332,17.458333333333332,18.9746192893401,16.02857142857143,27.3909090909
9,19.169354838709676,21.164383561643834,16.027272727272727,20.660477453580903,18.453932584269662,18.453932584269662,19.948275862068964,17.528301886792452,25.578125
10,19.45810055865922,20.775609756097563,15.658682634730539,21.643939393939394,19.236842105263158,19.236842105263158,21.21167883211679,18.7602523659306,24.9943181818
11,18.640167364016737,18.996913580246915,10.832786885245902,13.511450381679388,11.591639871382636,11.591639871382636,12.116838487972508,12.347540983606557,23.394265233
12,19.05263157894737,24.463414634146343,15.566265060240964,21.328,18.12578616352201,18.12578616352201,21.576923076923077,18.794701986754966,28.3691275168
13,16.382513661202186,15.646586345381525,12.2073732718894,16.06086956521739,13.718676122931441,13.718676122931441,15.124668435013263,14.346153846153847,16.7520661157
14,22.449704142011836,17.657692307692308,13.826161790017212,17.008298755186722,15.243772241992882,15.243772241992882,16.986138613861385,15.295454545454545,21.9559471366
15,19.35323383084577,19.129032258064516,18.24822695035461,22.905982905982906,18.87074829931973,18.87074829931973,21.236641221374047,20.67153284671533,20.7909836066
16,22.008130081300813,18.04591836734694,12.575539568345324,15.827004219409282,12.952861952861953,12.952861952861953,14.764478764478765,14.593283582089553,21.1620111732
17,19.783333333333335,19.52577319587629,12.87809917355372,16.940149625935163,14.652263374485596,14.652263374485596,15.6680506993007,15.481481481481481,21.7161803714
18,23.086021505376344,20.522556390977442,11.702857142857143,17.054545454545455,14.604105571847507,14.604105571847507,16.29530201342282,14.671597633136095,23.0426356589
19,21.95138888888889,14.377952755905511,12.176470588235293,17.491525423728813,14.958620689655172,14.958620689655172,17.294354838709676,15.47517730496454,14.5285171103
20,19.89075630252101,14.929919137466307,12.783378746594005,18.146757679180887,16.32205882352941,16.32205882352941,17.592105263157894,16.888059701492537,16.8481375358
21,20.245014245014247,16.875510204081632,11.620825147347741,14.56629213483146,13.909090909090908,13.909090909090908,14.004301075268817,14.26639344262295,18.9488272921
22,26.358695652173914,22.90909090909091,12.28125,15.017605633802816,14.357859531772576,14.357859531772576,14.795847750865052,15.174496644295303,24.7711864407
23,19.9390243902439,15.053497942386832,14.610837438423646,18.012048192771083,15.827586206896552,15.827586206896552,18.203488372093023,15.343137254901961,17.0212765957
24,22.41007194244604,15.88679245283019,15.38425925925926,19.733695652173914,19.255102040816325,19.255102040816325,18.2,19.106060606060606,18.0399002494
25,21.47342995169082,17.107142857142858,14.732620320855615,17.94578313253012,17.31111111111111,17.31111111111111,17.36094674556213,16.088082901554404,18.5163636364
26,21.441988950276244,17.90717299578059,15.579335793357934,18.914893617021278,17.303030303030305,17.303030303030305,17.405511811023622,17.029197080291972,18.2067510549
27,19.876796714579054,19.647377938517177,11.25065274151436,15.760135135135135,13.424657534246576,13.424657534246576,14.133333333333333,13.693370165745856,19.5242214533
28,17.425219941348974,15.68632075471698,14.2560553633218,19.699115044247787,17.532075471698114,17.532075471698114,18.083844580777097,17.55452865064695,15.8412698413
29,22.62721893491124,16.373076923076923,12.528052805280527,14.555956678700362,14.2,14.2,13.795918367346939,14.744827586206897,17.2330827068
30,20.87162162162162,22.617283950617285,12.190812720848056,14.951417004048583,13.529824561403508,13.529824561403508,14.330769230769231,13.760714285714286,21.0502793296
31,20.045801526717558,16.650887573964496,10.838870431893687,13.04275092936803,11.797752808988765,11.797752808988765,11.881154499151103,11.995073891625616,19.5465838509
32,21.84328358208955,18.88546255506608,15.462962962962964,21.337349397590362,19.610526315789475,19.610526315789475,20.227272727272727,20.10989010989011,19.4184100418
33,19.906976744186046,15.643598615916956,14.807799442896936,20.714285714285715,16.263610315186245,16.263610315186245,20.546762589928058,16.50700280112045,17.013986014
34,20.856164383561644,21.06280193236715,14.015290519877675,21.13063063063063,16.39739413680782,16.39739413680782,20.274193548387096,16.0873786407767,21.9461358314
35,16.936046511627907,16,15.768292682926829,21.588709677419356,19.175675675675677,19.175675675675677,19.93617021276596,15.725274725274724,16.5833333333
36,17.736842105263158,15.87280701754386,19.229885057471265,26.223076923076924,21.419161676646706,21.419161676646706,23.18243243243243,20.36263736263736,15.88
37,15.783289817232376,13.525,15.45,24.344827586206897,17.7396449704142,17.7396449704142,20.916083916083917,17.468926553672315,14.0914179104
38,20.75,24.364864864864863,16.36413043478261,23.423076923076923,17,17,21.39189189189189,16.70618556701031,22.6790123457
