Chapter,X1909,X1951,X1956,X1974,X2008,X2021,X2024_Pareschi,X2024_Sacchini,Original
3,0.4022307424189613,0.40400508582326766,0.3427446954140999,0.3474534366243613,0.3514246947082768,0.32273680813296757,0.3364875701684042,0.3324574961360124,0.32991930477964
4,0.35872750104646295,0.35226264418811004,0.3831923890063425,0.39310009718172984,0.39061277705345504,0.37447647203744766,0.3805372290292177,0.3835744283714419,0.2881009205591544
5,0.36070528967254406,0.3489404641775984,0.3804930332261522,0.37814263724987174,0.3802027748132337,0.3570052961001444,0.3777887952404561,0.371271772846576,0.2854877081681205
6,0.4480549199084668,0.41934319740166004,0.36617781851512377,0.36597492434068307,0.3727189781021898,0.34422476586888656,0.3613881961762261,0.35882702595601346,0.3402944197192742
7,0.43850042122999155,0.4176882661996497,0.36727272727272725,0.3626026531901453,0.37864298724954465,0.35301253538212696,0.3675178753830439,0.35626343560680085,0.35823382393779507
8,0.42921440261865795,0.42114445219818564,0.3816951147733961,0.3792817679558011,0.38658428949691087,0.3656854945637762,0.37586944890315677,0.37662337662337664,0.355791569863923
9,0.4236432477913336,0.4148867313915858,0.3394781622234827,0.333033765566825,0.34566006140106054,0.31003409644422797,0.3330040745771083,0.32639636407128336,0.3445326817348809
10,0.3781223083548665,0.3669875557642639,0.35296367112810706,0.34371718585929295,0.3724832214765101,0.3295143638850889,0.35495526496902957,0.34689759542626536,0.2980222777904069
11,0.3510662177328844,0.33582453290008124,0.37378934624697335,0.3799435028248588,0.376491646778043,0.3509015256588072,0.3760635280771412,0.37679235262878386,0.26505285736172823
12,0.4191002367797948,0.3893320039880359,0.4407894736842105,0.44036009002250565,0.4360508601346298,0.41290770298403884,0.43315508021390375,0.4295278365045807,0.3267092500591436
13,0.3905937291527685,0.37089322381930184,0.34730086825217066,0.3466883234073272,0.3523610847714773,0.3163880751335516,0.34303753069098564,0.3342828418230563,0.3147508633448446
14,0.36056931997891406,0.35983445872358966,0.309348935640483,0.3077579897535984,0.307219284220883,0.28236255398622623,0.30170202844485894,0.30483483826723057,0.3031701444622793
15,0.3758354755784062,0.3642495784148398,0.4108045083560047,0.41455223880597014,0.4184149184149184,0.3965392934390771,0.41696621135873474,0.4088983050847458,0.30139956633155923
16,0.3949021056520133,0.3816793893129771,0.37871853546910755,0.3796320981071714,0.38367809577784073,0.3553418247985443,0.38023012552301255,0.3853234466888264,0.3302534318901795
17,0.33192923336141533,0.32972544878563886,0.3367559762554147,0.33225379066686295,0.3379835129993659,0.3026260356691476,0.16056459823981478,0.3342245989304813,0.27042872847196775
18,0.3551467163483931,0.34878182817365816,0.374267578125,0.3567164179104478,0.36449928808732796,0.3200803212851406,0.3474052718286656,0.3541036499294212,0.3005887300252313
19,0.38279025624802276,0.3663745892661555,0.392109500805153,0.37693798449612403,0.3900393184796854,0.35315813739050256,0.3798088132431802,0.3735105407882676,0.29416383145773356
20,0.344106463878327,0.3477161942588915,0.305765746562933,0.28973105134474325,0.3072911233962658,0.2642580412649788,0.29216529543754677,0.2897923110914715,0.27380952380952384
21,0.31452293836194767,0.307655097351554,0.3415046491969569,0.3287565566183277,0.34251773634713745,0.3038455692354461,0.3442874692874693,0.32418845159436943,0.23596264206143805
22,0.40989690721649485,0.40764790764790765,0.35903307888040714,0.3535756154747948,0.3572679509632224,0.32914046121593293,0.3648269410664172,0.35249889429455994,0.3308244953814574
23,0.3801223241590214,0.3723346090759978,0.39683074848280514,0.4096989966555184,0.39793539793539795,0.3825085589791472,0.4065793676141808,0.3996805111821086,0.3065
24,0.32648475120385234,0.3251187648456057,0.4050556725850135,0.3913522445607271,0.40178041543026705,0.3757286698463169,0.42180896027049875,0.3922812582606397,0.2549073818081283
25,0.35883014623172105,0.34509394572025054,0.4362976406533575,0.43303121852970794,0.44074471894020767,0.40757381258023107,0.44103612815269255,0.4405797101449275,0.279261586802828
26,0.3664004122648802,0.3706409048067861,0.388915206063477,0.38695163104611924,0.39456419868791004,0.36208406304728546,0.40307622709794166,0.3849121303043292,0.3128621089223638
27,0.29793388429752066,0.292038656235619,0.36272917150150846,0.35862808145766345,0.36132140399174123,0.3271428571428571,0.36771012006861065,0.3492031470647569,0.22481169694284447
28,0.32110400538539213,0.33137874003909185,0.3154126213592233,0.31323000898472597,0.31732045866022934,0.28594489883770985,0.3283953409476422,0.30862377592924084,0.26238190667048383
29,0.3540794979079498,0.3483673948790228,0.37486828240252895,0.37103174603174605,0.37829376467518916,0.3380281690140845,0.3806706114398422,0.3627221702525725,0.2859947643979058
30,0.4049854321786986,0.39164847161572053,0.3814492753623188,0.37963715136745196,0.38397472716829406,0.35217842323651455,0.3862050456253355,0.3797041266545549,0.34129511677282376
31,0.4325971058644326,0.43248045486851455,0.31862068965517243,0.3075388342596551,0.32028523744500076,0.28285714285714286,0.32480708773935413,0.3103353867214237,0.35970765808706706
32,0.4086094977792962,0.37462094704921856,0.4365269461077844,0.43252399774138905,0.43292325717633273,0.41170155662909286,0.4410112359550562,0.4284153005464481,0.32945485886662357
33,0.3679906542056075,0.35036496350364965,0.34875846501128666,0.34972776769509983,0.35516983949234787,0.33227625088090207,0.35101540616246496,0.34091294756490753,0.28606658446362515
34,0.3369458128078818,0.3069954128440367,0.35718961379009384,0.36026433596248136,0.3616139585605234,0.3295589988081049,0.35262529832935563,0.3536511768255884,0.24735887311919752
35,0.38757294884998283,0.3614457831325301,0.42498066511987626,0.42622338438550617,0.42413923571698825,0.3964059196617336,0.41159729633582354,0.40950384346610763,0.28369118318867065
36,0.41543026706231456,0.37883393202542137,0.4085475194261805,0.41742446465239075,0.4127856522996818,0.3908303047246296,0.4199941707956864,0.4063680518078791,0.3
37,0.3149710504549214,0.30442201052182566,0.4253865516001438,0.4302407932011331,0.4288243626062323,0.39593062041360905,0.4152457372116349,0.4130012936610608,0.2369919237389117
38,0.4497991967871486,0.42151968940654466,0.4217867818000664,0.4141215106732348,0.4312169312169312,0.39922854387656703,0.41250789639924196,0.41067571737118175,0.38377789874795865
